ID,username,mail,street,language,PLZ
33,Bettens_admin,mail_bettens@waadt.ch,Bahnhofstrasse 79,FR,1042
34,Bioley-Orjulaz_admin,mail_bioley-orjulaz@waadt.ch,Piazza Riforma 40,DE,1042
35,Assens_admin,mail_assens@waadt.ch,Werdstrasse 26,FR,1042
36,Sugnens_admin,mail_sugnens@waadt.ch,Rue de l'hôpital 25,DE,1043
37,Fey_admin,mail_fey@waadt.ch,Hirschengraben 68,FR,1044
38,Ogens_admin,mail_ogens@waadt.ch,Usterstrasse 45,IT,1045
39,Rueyres_admin,mail_rueyres@waadt.ch,Marktgasse 38,FR,1046
40,Oppens_admin,mail_oppens@waadt.ch,Bärenplatz 12,DE,1047
41,Le_Mont-sur-Lausanne_admin,mail_le_mont-sur-lausanne@waadt.ch,Winkelriedstrasse 32,DE,1052
42,Bretigny-sur-Morrens_admin,mail_bretigny-sur-morrens@waadt.ch,Bahnhofstrasse 37,IT,1053
43,Cugy_VD_admin,mail_cugy_vd@waadt.ch,Werdstrasse 47,IT,1053
44,Morrens_VD_admin,mail_morrens_vd@waadt.ch,Tellstrasse 32,IT,1054
45,Froideville_admin,mail_froideville@waadt.ch,Hirschengraben 73,IT,1055
46,Villars-Tiercelin_admin,mail_villars-tiercelin@waadt.ch,Usterstrasse 42,IT,1058
47,Peney-le-Jorat_admin,mail_peney-le-jorat@waadt.ch,Marktgasse 97,IT,1059
48,Villars-Mendraz_admin,mail_villars-mendraz@waadt.ch,Piazza Riforma 29,DE,1061
49,Sottens_admin,mail_sottens@waadt.ch,Marktplatz 29,DE,1062
50,Peyres-Possens_admin,mail_peyres-possens@waadt.ch,Tellstrasse 6,DE,1063
51,Boulens_admin,mail_boulens@waadt.ch,Marktgasse 72,FR,1063
52,Chapelle-sur-Moudon_admin,mail_chapelle-sur-moudon@waadt.ch,Morgartenstrasse 37,IT,1063
53,Martherenges_admin,mail_martherenges@waadt.ch,Rue du Château 40,IT,1063
54,Epalinges_admin,mail_epalinges@waadt.ch,Rue de la Croix-Rouge 18,FR,1066
55,Les_Monts-de-Pully_admin,mail_les_monts-de-pully@waadt.ch,Rue du Château 39,FR,1068
56,Puidoux_admin,mail_puidoux@waadt.ch,Hirschengraben 25,FR,1070
57,Rivaz_admin,mail_rivaz@waadt.ch,Morgartenstrasse 4,DE,1071
58,St-Saphorin_(Lavaux)_admin,mail_st-saphorin_(lavaux)@waadt.ch,Place de l'hôtel 20,FR,1071
59,Chexbres_admin,mail_chexbres@waadt.ch,Rue de l'hôpital 26,IT,1071
60,Forel_(Lavaux)_admin,mail_forel_(lavaux)@waadt.ch,Piazza Riforma 43,IT,1072
61,Mollie-Margot_admin,mail_mollie-margot@waadt.ch,Morgartenstrasse 65,FR,1073
62,Savigny_admin,mail_savigny@waadt.ch,Place de l'hôtel 12,FR,1073
63,Ferlens_VD_admin,mail_ferlens_vd@waadt.ch,Usterstrasse 24,FR,1076
64,Servion_admin,mail_servion@waadt.ch,Rue du Château 23,FR,1077
65,Essertes_admin,mail_essertes@waadt.ch,Poststrasse 7,DE,1078
66,Les_Cullayes_admin,mail_les_cullayes@waadt.ch,Rue du Château 6,IT,1080
67,Montpreveyres_admin,mail_montpreveyres@waadt.ch,Poststrasse 17,DE,1081
68,Corcelles-le-Jorat_admin,mail_corcelles-le-jorat@waadt.ch,Marktplatz 45,IT,1082
69,Mézières_VD_admin,mail_mézières_vd@waadt.ch,Hirschengraben 11,FR,1083
70,Carrouge_VD_admin,mail_carrouge_vd@waadt.ch,Industriestrasse 31,IT,1084
71,Vulliens_admin,mail_vulliens@waadt.ch,Place de l'hôtel 85,IT,1085
72,Ropraz_admin,mail_ropraz@waadt.ch,Piazza Riforma 68,DE,1088
73,La_Croix (Lutry)_admin,mail_la_croix (lutry)@waadt.ch,Winkelriedstrasse 9,IT,1090
74,Aran_admin,mail_aran@waadt.ch,Rue du Château 41,DE,1091
75,Chenaux_admin,mail_chenaux@waadt.ch,Dufourstrasse 63,FR,1091
76,Grandvaux_admin,mail_grandvaux@waadt.ch,Bärenplatz 6,DE,1091
77,Belmont-sur-Lausanne_admin,mail_belmont-sur-lausanne@waadt.ch,Hirschengraben 6,FR,1092
78,La_Conversion_admin,mail_la_conversion@waadt.ch,Rue de la Croix-Rouge 18,FR,1093
79,Paudex_admin,mail_paudex@waadt.ch,Dufourstrasse 2,DE,1094
80,Lutry_admin,mail_lutry@waadt.ch,Via Trevano 67,FR,1095
81,Villette_(Lavaux)_admin,mail_villette_(lavaux)@waadt.ch,Marktgasse 22,FR,1096
82,Cully_admin,mail_cully@waadt.ch,Marktplatz 60,FR,1096
83,Riex_admin,mail_riex@waadt.ch,Marktgasse 94,DE,1097
84,Epesses_admin,mail_epesses@waadt.ch,Marktplatz 77,FR,1098
85,Morges_admin,mail_morges@waadt.ch,Rue du Château 82,FR,1110
86,Echichens_admin,mail_echichens@waadt.ch,Usterstrasse 41,DE,1112
87,St-Saphorin-sur-Morges_admin,mail_st-saphorin-sur-morges@waadt.ch,Rue de l'hôpital 70,FR,1113
88,Colombier_VD_admin,mail_colombier_vd@waadt.ch,Poststrasse 44,DE,1114
89,Vullierens_admin,mail_vullierens@waadt.ch,Tellstrasse 46,DE,1115
90,Cottens_VD_admin,mail_cottens_vd@waadt.ch,Zürcherstrasse 73,FR,1116
91,Grancy_admin,mail_grancy@waadt.ch,Tellstrasse 99,IT,1117
92,Bremblens_admin,mail_bremblens@waadt.ch,Usterstrasse 79,DE,1121
93,Romanel-sur-Morges_admin,mail_romanel-sur-morges@waadt.ch,Tellstrasse 7,DE,1122
94,Aclens_admin,mail_aclens@waadt.ch,Morgartenstrasse 60,FR,1123
95,Gollion_admin,mail_gollion@waadt.ch,Rue de la Croix-Rouge 65,FR,1124
96,Monnaz_admin,mail_monnaz@waadt.ch,Via Trevano 8,IT,1125
97,Vaux-sur-Morges_admin,mail_vaux-sur-morges@waadt.ch,Zürcherstrasse 78,IT,1126
98,Clarmont_admin,mail_clarmont@waadt.ch,Rue de la Croix-Rouge 93,DE,1127
99,Reverolle_admin,mail_reverolle@waadt.ch,Zürcherstrasse 87,DE,1128
100,Tolochenaz_admin,mail_tolochenaz@waadt.ch,Tellstrasse 67,IT,1131
101,Lully_VD_admin,mail_lully_vd@waadt.ch,Hirschengraben 82,DE,1132
102,Vufflens-le-Château_admin,mail_vufflens-le-château@waadt.ch,Rue du Château 11,IT,1134
103,Chigny_admin,mail_chigny@waadt.ch,Bärenplatz 69,FR,1134
104,Denens_admin,mail_denens@waadt.ch,Piazza Riforma 54,FR,1135
105,Bussy-Chardonney_admin,mail_bussy-chardonney@waadt.ch,Rue de la Croix-Rouge 75,IT,1136
106,Sévery_admin,mail_sévery@waadt.ch,Rue de la Croix-Rouge 10,FR,1141
107,Pampigny_admin,mail_pampigny@waadt.ch,Morgartenstrasse 52,IT,1142
108,Apples_admin,mail_apples@waadt.ch,Rue de la Croix-Rouge 90,FR,1143
109,Ballens_admin,mail_ballens@waadt.ch,Morgartenstrasse 9,FR,1144
110,Bière_admin,mail_bière@waadt.ch,Winkelriedstrasse 26,DE,1145
111,Mollens_VD_admin,mail_mollens_vd@waadt.ch,Rue de l'hôpital 76,IT,1146
112,Montricher_admin,mail_montricher@waadt.ch,Werdstrasse 34,FR,1147
113,Cuarnens_admin,mail_cuarnens@waadt.ch,Rue de l'hôpital 98,FR,1148
114,Moiry_VD_admin,mail_moiry_vd@waadt.ch,Bahnhofstrasse 21,FR,1148
115,La_Praz_admin,mail_la_praz@waadt.ch,Morgartenstrasse 5,IT,1148
116,Mont-la-Ville_admin,mail_mont-la-ville@waadt.ch,Marktgasse 41,FR,1148
117,Chavannes-le-Veyron_admin,mail_chavannes-le-veyron@waadt.ch,Poststrasse 73,FR,1148
118,Mauraz_admin,mail_mauraz@waadt.ch,Rue de l'hôpital 61,DE,1148
119,Villars-Bozon_admin,mail_villars-bozon@waadt.ch,Hirschengraben 74,IT,1148
120,La_Coudre_admin,mail_la_coudre@waadt.ch,Poststrasse 9,IT,1148
121,L'Isle_admin,mail_l'isle@waadt.ch,Marktgasse 30,IT,1148
122,Berolle_admin,mail_berolle@waadt.ch,Zürcherstrasse 55,FR,1149
123,St-Prex_admin,mail_st-prex@waadt.ch,Industriestrasse 22,FR,1162
124,Etoy_admin,mail_etoy@waadt.ch,Winkelriedstrasse 7,IT,1163
125,Buchillon_admin,mail_buchillon@waadt.ch,Place de l'hôtel 2,IT,1164
126,Allaman_admin,mail_allaman@waadt.ch,Marktgasse 33,DE,1165
127,Perroy_admin,mail_perroy@waadt.ch,Bahnhofstrasse 29,FR,1166
128,Lussy-sur-Morges_admin,mail_lussy-sur-morges@waadt.ch,Bahnhofstrasse 17,FR,1167
129,Villars-sous-Yens_admin,mail_villars-sous-yens@waadt.ch,Rue de l'hôpital 47,DE,1168
130,Yens_admin,mail_yens@waadt.ch,Poststrasse 34,IT,1169
131,Aubonne_admin,mail_aubonne@waadt.ch,Industriestrasse 44,DE,1170
132,Bougy-Villars_admin,mail_bougy-villars@waadt.ch,Industriestrasse 55,IT,1172
133,Féchy_admin,mail_féchy@waadt.ch,Rue de l'hôpital 7,DE,1173
134,Montherod_admin,mail_montherod@waadt.ch,Dufourstrasse 69,DE,1174
135,Pizy_admin,mail_pizy@waadt.ch,Via Trevano 68,FR,1174
136,Lavigny_admin,mail_lavigny@waadt.ch,Industriestrasse 43,IT,1175
137,St-Livres_admin,mail_st-livres@waadt.ch,Werdstrasse 66,DE,1176
138,Tartegnin_admin,mail_tartegnin@waadt.ch,Rue de l'hôpital 99,FR,1180
139,Rolle_admin,mail_rolle@waadt.ch,Poststrasse 56,IT,1180
140,Gilly_admin,mail_gilly@waadt.ch,Winkelriedstrasse 10,DE,1182
141,Bursins_admin,mail_bursins@waadt.ch,Rue de l'hôpital 81,DE,1183
142,Vinzel_admin,mail_vinzel@waadt.ch,Place de l'hôtel 63,DE,1184
143,Luins_admin,mail_luins@waadt.ch,Rue de la Croix-Rouge 25,DE,1184
144,Mont-sur-Rolle_admin,mail_mont-sur-rolle@waadt.ch,Via Trevano 49,DE,1185
145,Essertines-sur-Rolle_admin,mail_essertines-sur-rolle@waadt.ch,Bärenplatz 21,IT,1186
146,St-Oyens_admin,mail_st-oyens@waadt.ch,Via Trevano 15,FR,1187
147,Gimel_admin,mail_gimel@waadt.ch,Usterstrasse 64,DE,1188
148,St-George_admin,mail_st-george@waadt.ch,Rue du Château 79,DE,1188
149,Saubraz_admin,mail_saubraz@waadt.ch,Rue de la Croix-Rouge 7,DE,1189
150,Dully_admin,mail_dully@waadt.ch,Industriestrasse 20,DE,1195
151,Bursinel_admin,mail_bursinel@waadt.ch,Piazza Riforma 53,DE,1195
152,Gland_admin,mail_gland@waadt.ch,Werdstrasse 98,FR,1196
153,Prangins_admin,mail_prangins@waadt.ch,Rue du Château 58,IT,1197
154,Genève_admin,mail_genève@genf.ch,Dufourstrasse 40,IT,1200
155,Grand-Lancy_admin,mail_grand-lancy@genf.ch,Poststrasse 45,FR,1212
156,Petit-Lancy_admin,mail_petit-lancy@genf.ch,Poststrasse 97,FR,1213
157,Onex_admin,mail_onex@genf.ch,Tellstrasse 49,DE,1213
158,Vernier_admin,mail_vernier@genf.ch,Rue de la Croix-Rouge 66,FR,1214
159,Genève_15 Aéroport_admin,mail_genève_15 aéroport@genf.ch,Marktgasse 77,IT,1215
160,Cointrin_admin,mail_cointrin@genf.ch,Marktgasse 92,IT,1216
161,Meyrin_admin,mail_meyrin@genf.ch,Rue de l'hôpital 3,DE,1217
162,Le_Grand-Saconnex_admin,mail_le_grand-saconnex@genf.ch,Rue de l'hôpital 36,DE,1218
163,Le_Lignon_admin,mail_le_lignon@genf.ch,Marktplatz 27,DE,1219
164,Aïre_admin,mail_aïre@genf.ch,Place de l'hôtel 9,FR,1219
165,Châtelaine_admin,mail_châtelaine@genf.ch,Morgartenstrasse 79,DE,1219
166,Les_Avanchets_admin,mail_les_avanchets@genf.ch,Rue de l'hôpital 95,IT,1220
167,Vésenaz_admin,mail_vésenaz@genf.ch,Industriestrasse 38,DE,1222
168,Cologny_admin,mail_cologny@genf.ch,Marktplatz 10,FR,1223
169,Chêne-Bougeries_admin,mail_chêne-bougeries@genf.ch,Hirschengraben 37,FR,1224
170,Chêne-Bourg_admin,mail_chêne-bourg@genf.ch,Marktplatz 21,DE,1225
171,Thônex_admin,mail_thônex@genf.ch,Tellstrasse 46,DE,1226
172,Les_Acacias_admin,mail_les_acacias@genf.ch,Rue de l'hôpital 98,FR,1227
173,Carouge_GE_admin,mail_carouge_ge@genf.ch,Rue de l'hôpital 68,DE,1227
174,Plan-les-Ouates_admin,mail_plan-les-ouates@genf.ch,Werdstrasse 50,DE,1228
175,Conches_admin,mail_conches@genf.ch,Place de l'hôtel 32,DE,1231
176,Confignon_admin,mail_confignon@genf.ch,Rue de l'hôpital 81,DE,1232
177,Bernex_admin,mail_bernex@genf.ch,Usterstrasse 90,IT,1233
178,Vessy_admin,mail_vessy@genf.ch,Rue du Château 89,FR,1234
179,Cartigny_admin,mail_cartigny@genf.ch,Bahnhofstrasse 41,DE,1236
180,Avully_admin,mail_avully@genf.ch,Marktplatz 82,DE,1237
181,Collex_admin,mail_collex@genf.ch,Marktplatz 94,FR,1239
182,Puplinge_admin,mail_puplinge@genf.ch,Industriestrasse 89,DE,1241
183,Satigny_admin,mail_satigny@genf.ch,Marktplatz 11,IT,1242
184,Presinge_admin,mail_presinge@genf.ch,Rue de l'hôpital 63,FR,1243
185,Choulex_admin,mail_choulex@genf.ch,Zürcherstrasse 35,IT,1244
186,Collonge-Bellerive_admin,mail_collonge-bellerive@genf.ch,Zürcherstrasse 31,IT,1245
187,Corsier_GE_admin,mail_corsier_ge@genf.ch,Rue de l'hôpital 42,IT,1246
188,Anières_admin,mail_anières@genf.ch,Tellstrasse 22,DE,1247
189,Hermance_admin,mail_hermance@genf.ch,Piazza Riforma 77,DE,1248
190,Gy_admin,mail_gy@genf.ch,Zürcherstrasse 14,DE,1251
191,Meinier_admin,mail_meinier@genf.ch,Rue de la Croix-Rouge 29,FR,1252
192,Vandoeuvres_admin,mail_vandoeuvres@genf.ch,Rue du Château 91,DE,1253
193,Jussy_admin,mail_jussy@genf.ch,Hirschengraben 10,DE,1254
194,Veyrier_admin,mail_veyrier@genf.ch,Marktgasse 82,FR,1255
195,Troinex_admin,mail_troinex@genf.ch,Dufourstrasse 28,FR,1256
196,La_Croix-de-Rozon_admin,mail_la_croix-de-rozon@genf.ch,Usterstrasse 50,IT,1257
197,Perly_admin,mail_perly@genf.ch,Place de l'hôtel 3,FR,1258
198,Nyon_admin,mail_nyon@waadt.ch,Rue du Château 58,IT,1260
199,Longirod_admin,mail_longirod@waadt.ch,Werdstrasse 71,IT,1261
200,Marchissy_admin,mail_marchissy@waadt.ch,Via Trevano 24,DE,1261
201,Le_Vaud_admin,mail_le_vaud@waadt.ch,Via Trevano 43,FR,1261
202,Eysins_admin,mail_eysins@waadt.ch,Zürcherstrasse 26,IT,1262
203,Crassier_admin,mail_crassier@waadt.ch,Rue de la Croix-Rouge 86,IT,1263
204,St-Cergue_admin,mail_st-cergue@waadt.ch,Piazza Riforma 3,IT,1264
205,La_Cure_admin,mail_la_cure@waadt.ch,Piazza Riforma 28,FR,1265
206,Duillier_admin,mail_duillier@waadt.ch,Place de l'hôtel 50,FR,1266
207,Vich_admin,mail_vich@waadt.ch,Hirschengraben 11,IT,1267
208,Coinsins_admin,mail_coinsins@waadt.ch,Dufourstrasse 86,DE,1267
209,Burtigny_admin,mail_burtigny@waadt.ch,Usterstrasse 28,FR,1268
210,Begnins_admin,mail_begnins@waadt.ch,Bärenplatz 63,FR,1268
211,Bassins_admin,mail_bassins@waadt.ch,Marktgasse 17,DE,1269
212,Trélex_admin,mail_trélex@waadt.ch,Rue de l'hôpital 23,IT,1270
213,Givrins_admin,mail_givrins@waadt.ch,Rue de la Croix-Rouge 97,IT,1271
214,Genolier_admin,mail_genolier@waadt.ch,Place de l'hôtel 64,DE,1272
215,Le_Muids_admin,mail_le_muids@waadt.ch,Winkelriedstrasse 19,DE,1273
216,Arzier_admin,mail_arzier@waadt.ch,Marktplatz 92,FR,1273
217,Grens_admin,mail_grens@waadt.ch,Winkelriedstrasse 34,FR,1274
218,Signy_admin,mail_signy@waadt.ch,Werdstrasse 30,DE,1274
219,Chéserex_admin,mail_chéserex@waadt.ch,Bärenplatz 84,FR,1275
220,Gingins_admin,mail_gingins@waadt.ch,Piazza Riforma 57,DE,1276
221,Arnex-sur-Nyon_admin,mail_arnex-sur-nyon@waadt.ch,Hirschengraben 74,DE,1277
222,Borex_admin,mail_borex@waadt.ch,Dufourstrasse 81,IT,1277
223,La_Rippe_admin,mail_la_rippe@waadt.ch,Dufourstrasse 92,IT,1278
224,Bogis-Bossey_admin,mail_bogis-bossey@waadt.ch,Poststrasse 54,FR,1279
225,Chavannes-de-Bogis_admin,mail_chavannes-de-bogis@waadt.ch,Rue du Château 86,FR,1279
226,Russin_admin,mail_russin@genf.ch,Rue de la Croix-Rouge 67,IT,1281
227,Dardagny_admin,mail_dardagny@genf.ch,Morgartenstrasse 5,FR,1283
228,La_Plaine_admin,mail_la_plaine@genf.ch,Poststrasse 98,DE,1283
229,Chancy_admin,mail_chancy@genf.ch,Rue de la Croix-Rouge 91,FR,1284
230,Athenaz_(Avusy)_admin,mail_athenaz_(avusy)@genf.ch,Rue de l'hôpital 28,DE,1285
231,Soral_admin,mail_soral@genf.ch,Bahnhofstrasse 20,FR,1286
232,Laconnex_admin,mail_laconnex@genf.ch,Bärenplatz 30,IT,1287
233,Aire-la-Ville_admin,mail_aire-la-ville@genf.ch,Morgartenstrasse 68,DE,1288
234,Versoix_admin,mail_versoix@genf.ch,Morgartenstrasse 87,IT,1290
235,Chavannes-des-Bois_admin,mail_chavannes-des-bois@waadt.ch,Rue de l'hôpital 82,DE,1290
236,Commugny_admin,mail_commugny@waadt.ch,Winkelriedstrasse 83,DE,1291
237,Chambésy_admin,mail_chambésy@genf.ch,Rue du Château 45,DE,1292
238,Bellevue_admin,mail_bellevue@genf.ch,Bärenplatz 3,FR,1293
239,Genthod_admin,mail_genthod@genf.ch,Poststrasse 40,FR,1294
240,Mies_admin,mail_mies@waadt.ch,Poststrasse 28,IT,1295
241,Tannay_admin,mail_tannay@waadt.ch,Werdstrasse 36,FR,1295
242,Coppet_admin,mail_coppet@waadt.ch,Werdstrasse 96,DE,1296
243,Founex_admin,mail_founex@waadt.ch,Rue du Château 45,IT,1297
244,Céligny_admin,mail_céligny@genf.ch,Place de l'hôtel 6,IT,1298
245,Crans-près-Céligny_admin,mail_crans-près-céligny@waadt.ch,Marktgasse 59,FR,1299
246,Vufflens-la-Ville_admin,mail_vufflens-la-ville@waadt.ch,Usterstrasse 55,IT,1302
247,Penthaz_admin,mail_penthaz@waadt.ch,Morgartenstrasse 47,FR,1303
248,Senarclens_admin,mail_senarclens@waadt.ch,Via Trevano 27,DE,1304
249,Dizy_admin,mail_dizy@waadt.ch,Zürcherstrasse 100,FR,1304
250,Allens_admin,mail_allens@waadt.ch,Werdstrasse 20,IT,1304
251,Cossonay-Ville_admin,mail_cossonay-ville@waadt.ch,Bahnhofstrasse 70,FR,1304
252,Penthalaz_admin,mail_penthalaz@waadt.ch,Rue du Château 38,IT,1305
253,Daillens_admin,mail_daillens@waadt.ch,Morgartenstrasse 29,FR,1306
254,Lussery-Villars_admin,mail_lussery-villars@waadt.ch,Rue de l'hôpital 47,FR,1307
255,La_Chaux (Cossonay)_admin,mail_la_chaux (cossonay)@waadt.ch,Bärenplatz 84,IT,1308
256,Eclépens_admin,mail_eclépens@waadt.ch,Marktplatz 86,FR,1312
257,Ferreyres_admin,mail_ferreyres@waadt.ch,Marktplatz 34,DE,1313
258,La_Sarraz_admin,mail_la_sarraz@waadt.ch,Usterstrasse 92,FR,1315
259,Chevilly_admin,mail_chevilly@waadt.ch,Place de l'hôtel 34,FR,1316
260,Orny_admin,mail_orny@waadt.ch,Rue de l'hôpital 11,IT,1317
261,Pompaples_admin,mail_pompaples@waadt.ch,Morgartenstrasse 55,IT,1318
262,Arnex-sur-Orbe_admin,mail_arnex-sur-orbe@waadt.ch,Poststrasse 93,IT,1321
263,Croy_admin,mail_croy@waadt.ch,Bärenplatz 35,FR,1322
264,Romainmôtier_admin,mail_romainmôtier@waadt.ch,Place de l'hôtel 94,IT,1323
265,Premier_admin,mail_premier@waadt.ch,Morgartenstrasse 97,IT,1324
266,Vaulion_admin,mail_vaulion@waadt.ch,Place de l'hôtel 45,FR,1325
267,Juriens_admin,mail_juriens@waadt.ch,Piazza Riforma 18,FR,1326
268,Bretonnières_admin,mail_bretonnières@waadt.ch,Werdstrasse 79,DE,1329
269,Vallorbe_admin,mail_vallorbe@waadt.ch,Piazza Riforma 51,FR,1337
270,Ballaigues_admin,mail_ballaigues@waadt.ch,Poststrasse 12,DE,1338
271,Orient_admin,mail_orient@waadt.ch,Bahnhofstrasse 30,IT,1341
272,Le_Pont_admin,mail_le_pont@waadt.ch,Hirschengraben 4,DE,1342
273,Les_Charbonnières_admin,mail_les_charbonnières@waadt.ch,Morgartenstrasse 31,IT,1343
274,L'Abbaye_admin,mail_l'abbaye@waadt.ch,Place de l'hôtel 7,DE,1344
275,Le_Lieu_admin,mail_le_lieu@waadt.ch,Rue de l'hôpital 74,DE,1345
276,Les_Bioux_admin,mail_les_bioux@waadt.ch,Morgartenstrasse 26,IT,1346
277,Le_Solliat_admin,mail_le_solliat@waadt.ch,Marktplatz 6,IT,1347
278,Le_Sentier_admin,mail_le_sentier@waadt.ch,Bahnhofstrasse 68,DE,1347
279,Le_Brassus_admin,mail_le_brassus@waadt.ch,Winkelriedstrasse 56,FR,1348
280,Orbe_admin,mail_orbe@waadt.ch,Place de l'hôtel 98,DE,1350
281,Agiez_admin,mail_agiez@waadt.ch,Tellstrasse 85,IT,1352
282,Bofflens_admin,mail_bofflens@waadt.ch,Rue de la Croix-Rouge 67,IT,1353
283,Montcherand_admin,mail_montcherand@waadt.ch,Poststrasse 18,FR,1354
284,Sergey_admin,mail_sergey@waadt.ch,Winkelriedstrasse 7,FR,1355
285,L'Abergement_admin,mail_l'abergement@waadt.ch,Industriestrasse 4,FR,1355
286,Les_Clées_admin,mail_les_clées@waadt.ch,Poststrasse 30,FR,1356
287,La_Russille_admin,mail_la_russille@waadt.ch,Via Trevano 2,DE,1356
288,Lignerolle_admin,mail_lignerolle@waadt.ch,Winkelriedstrasse 14,DE,1357
289,Valeyres-sous-Rances_admin,mail_valeyres-sous-rances@waadt.ch,Rue du Château 68,DE,1358
290,Bavois_admin,mail_bavois@waadt.ch,Bahnhofstrasse 64,DE,1372
291,Chavornay_admin,mail_chavornay@waadt.ch,Werdstrasse 63,IT,1373
292,Corcelles-sur-Chavornay_admin,mail_corcelles-sur-chavornay@waadt.ch,Dufourstrasse 57,FR,1374
293,Penthéréaz_admin,mail_penthéréaz@waadt.ch,Tellstrasse 43,FR,1375
294,Eclagnens_admin,mail_eclagnens@waadt.ch,Dufourstrasse 50,FR,1376
295,Goumoens-le-Jux_admin,mail_goumoens-le-jux@waadt.ch,Usterstrasse 17,FR,1376
296,Goumoens-la-Ville_admin,mail_goumoens-la-ville@waadt.ch,Dufourstrasse 93,DE,1376
297,Oulens-sous-Echallens_admin,mail_oulens-sous-echallens@waadt.ch,Marktplatz 15,FR,1377
298,Yverdon-les-Bains_admin,mail_yverdon-les-bains@waadt.ch,Werdstrasse 31,DE,1400
299,Cheseaux-Noréaz_admin,mail_cheseaux-noréaz@waadt.ch,Rue du Château 86,FR,1400
300,Cuarny_admin,mail_cuarny@waadt.ch,Marktplatz 100,FR,1404
301,Villars-Epeney_admin,mail_villars-epeney@waadt.ch,Piazza Riforma 25,DE,1404
302,Pomy_admin,mail_pomy@waadt.ch,Poststrasse 31,DE,1405
303,Cronay_admin,mail_cronay@waadt.ch,Winkelriedstrasse 73,FR,1406
304,Bioley-Magnoux_admin,mail_bioley-magnoux@waadt.ch,Industriestrasse 65,DE,1407
305,Gossens_admin,mail_gossens@waadt.ch,Place de l'hôtel 35,FR,1407
306,Mézery-près-Donneloye_admin,mail_mézery-près-donneloye@waadt.ch,Piazza Riforma 9,IT,1407
307,Donneloye_admin,mail_donneloye@waadt.ch,Rue de la Croix-Rouge 25,DE,1407
308,Prahins_admin,mail_prahins@waadt.ch,Poststrasse 52,IT,1408
309,Chanéaz_admin,mail_chanéaz@waadt.ch,Morgartenstrasse 25,IT,1409
310,Prévondavaux_admin,mail_prévondavaux@freiburg.ch,Bahnhofstrasse 74,DE,1410
311,St-Cierges_admin,mail_st-cierges@waadt.ch,Marktgasse 24,DE,1410
