ID,username,mail,language,street,PLZ
36,Sugnens_admin,mail_sugnens@waadt.ch,IT,Bahnhofstrasse 33,1043
37,Fey_admin,mail_fey@waadt.ch,IT,Industriestrasse 55,1044
38,Ogens_admin,mail_ogens@waadt.ch,IT,Dufourstrasse 7,1045
39,Rueyres_admin,mail_rueyres@waadt.ch,FR,Bahnhofstrasse 33,1046
40,Oppens_admin,mail_oppens@waadt.ch,IT,Winkelriedstrasse 14,1047
41,Le_Mont-sur-Lausanne_admin,mail_le_mont-sur-lausanne@waadt.ch,FR,Hirschengraben 85,1052
42,Bretigny-sur-Morrens_admin,mail_bretigny-sur-morrens@waadt.ch,IT,Zürcherstrasse 28,1053
43,Cugy_VD_admin,mail_cugy_vd@waadt.ch,DE,Marktplatz 41,1053
44,Morrens_VD_admin,mail_morrens_vd@waadt.ch,DE,Via Trevano 23,1054
45,Froideville_admin,mail_froideville@waadt.ch,DE,Piazza Riforma 82,1055
46,Villars-Tiercelin_admin,mail_villars-tiercelin@waadt.ch,DE,Dufourstrasse 58,1058
47,Peney-le-Jorat_admin,mail_peney-le-jorat@waadt.ch,IT,Bärenplatz 83,1059
48,Villars-Mendraz_admin,mail_villars-mendraz@waadt.ch,DE,Tellstrasse 34,1061
49,Sottens_admin,mail_sottens@waadt.ch,DE,Poststrasse 5,1062
50,Peyres-Possens_admin,mail_peyres-possens@waadt.ch,FR,Marktgasse 100,1063
51,Boulens_admin,mail_boulens@waadt.ch,FR,Rue du Château 45,1063
52,Chapelle-sur-Moudon_admin,mail_chapelle-sur-moudon@waadt.ch,FR,Poststrasse 100,1063
53,Martherenges_admin,mail_martherenges@waadt.ch,IT,Industriestrasse 28,1063
54,Epalinges_admin,mail_epalinges@waadt.ch,IT,Marktplatz 99,1066
55,Les_Monts-de-Pully_admin,mail_les_monts-de-pully@waadt.ch,IT,Place de l'hôtel 21,1068
56,Puidoux_admin,mail_puidoux@waadt.ch,DE,Dufourstrasse 21,1070
57,Rivaz_admin,mail_rivaz@waadt.ch,FR,Rue de l'hôpital 72,1071
58,St-Saphorin_(Lavaux)_admin,mail_st-saphorin_(lavaux)@waadt.ch,IT,Usterstrasse 17,1071
59,Chexbres_admin,mail_chexbres@waadt.ch,FR,Rue du Château 17,1071
60,Forel_(Lavaux)_admin,mail_forel_(lavaux)@waadt.ch,DE,Werdstrasse 12,1072
61,Mollie-Margot_admin,mail_mollie-margot@waadt.ch,FR,Zürcherstrasse 27,1073
62,Savigny_admin,mail_savigny@waadt.ch,FR,Hirschengraben 72,1073
63,Ferlens_VD_admin,mail_ferlens_vd@waadt.ch,DE,Marktplatz 90,1076
64,Servion_admin,mail_servion@waadt.ch,IT,Via Trevano 28,1077
65,Essertes_admin,mail_essertes@waadt.ch,IT,Zürcherstrasse 52,1078
66,Les_Cullayes_admin,mail_les_cullayes@waadt.ch,DE,Morgartenstrasse 83,1080
67,Montpreveyres_admin,mail_montpreveyres@waadt.ch,FR,Rue de la Croix-Rouge 88,1081
68,Corcelles-le-Jorat_admin,mail_corcelles-le-jorat@waadt.ch,FR,Bahnhofstrasse 18,1082
69,Mézières_VD_admin,mail_mézières_vd@waadt.ch,DE,Dufourstrasse 40,1083
70,Carrouge_VD_admin,mail_carrouge_vd@waadt.ch,DE,Hirschengraben 100,1084
71,Vulliens_admin,mail_vulliens@waadt.ch,FR,Werdstrasse 83,1085
72,Ropraz_admin,mail_ropraz@waadt.ch,FR,Tellstrasse 90,1088
73,La_Croix (Lutry)_admin,mail_la_croix (lutry)@waadt.ch,DE,Rue du Château 4,1090
74,Aran_admin,mail_aran@waadt.ch,FR,Marktgasse 53,1091
75,Chenaux_admin,mail_chenaux@waadt.ch,FR,Morgartenstrasse 39,1091
76,Grandvaux_admin,mail_grandvaux@waadt.ch,DE,Marktplatz 82,1091
77,Belmont-sur-Lausanne_admin,mail_belmont-sur-lausanne@waadt.ch,DE,Usterstrasse 62,1092
78,La_Conversion_admin,mail_la_conversion@waadt.ch,IT,Usterstrasse 30,1093
79,Paudex_admin,mail_paudex@waadt.ch,DE,Werdstrasse 79,1094
80,Lutry_admin,mail_lutry@waadt.ch,FR,Werdstrasse 95,1095
81,Villette_(Lavaux)_admin,mail_villette_(lavaux)@waadt.ch,FR,Rue de la Croix-Rouge 18,1096
82,Cully_admin,mail_cully@waadt.ch,DE,Industriestrasse 5,1096
83,Riex_admin,mail_riex@waadt.ch,DE,Zürcherstrasse 53,1097
84,Epesses_admin,mail_epesses@waadt.ch,DE,Morgartenstrasse 14,1098
85,Morges_admin,mail_morges@waadt.ch,IT,Rue du Château 58,1110
86,Echichens_admin,mail_echichens@waadt.ch,IT,Place de l'hôtel 53,1112
87,St-Saphorin-sur-Morges_admin,mail_st-saphorin-sur-morges@waadt.ch,FR,Rue du Château 34,1113
88,Colombier_VD_admin,mail_colombier_vd@waadt.ch,FR,Usterstrasse 84,1114
89,Vullierens_admin,mail_vullierens@waadt.ch,FR,Bahnhofstrasse 74,1115
90,Cottens_VD_admin,mail_cottens_vd@waadt.ch,IT,Rue de la Croix-Rouge 97,1116
91,Grancy_admin,mail_grancy@waadt.ch,DE,Poststrasse 81,1117
92,Bremblens_admin,mail_bremblens@waadt.ch,FR,Bahnhofstrasse 13,1121
93,Romanel-sur-Morges_admin,mail_romanel-sur-morges@waadt.ch,FR,Hirschengraben 89,1122
94,Aclens_admin,mail_aclens@waadt.ch,FR,Marktplatz 41,1123
95,Gollion_admin,mail_gollion@waadt.ch,FR,Morgartenstrasse 7,1124
96,Monnaz_admin,mail_monnaz@waadt.ch,DE,Tellstrasse 34,1125
97,Vaux-sur-Morges_admin,mail_vaux-sur-morges@waadt.ch,FR,Via Trevano 31,1126
98,Clarmont_admin,mail_clarmont@waadt.ch,FR,Bärenplatz 43,1127
99,Reverolle_admin,mail_reverolle@waadt.ch,DE,Tellstrasse 98,1128
100,Tolochenaz_admin,mail_tolochenaz@waadt.ch,DE,Dufourstrasse 19,1131
101,Lully_VD_admin,mail_lully_vd@waadt.ch,IT,Usterstrasse 4,1132
102,Vufflens-le-Château_admin,mail_vufflens-le-château@waadt.ch,IT,Place de l'hôtel 64,1134
103,Chigny_admin,mail_chigny@waadt.ch,IT,Rue du Château 66,1134
104,Denens_admin,mail_denens@waadt.ch,FR,Marktplatz 19,1135
105,Bussy-Chardonney_admin,mail_bussy-chardonney@waadt.ch,FR,Zürcherstrasse 73,1136
106,Sévery_admin,mail_sévery@waadt.ch,DE,Poststrasse 99,1141
107,Pampigny_admin,mail_pampigny@waadt.ch,IT,Rue de l'hôpital 88,1142
108,Apples_admin,mail_apples@waadt.ch,FR,Rue de la Croix-Rouge 75,1143
109,Ballens_admin,mail_ballens@waadt.ch,DE,Poststrasse 49,1144
110,Bière_admin,mail_bière@waadt.ch,IT,Usterstrasse 13,1145
111,Mollens_VD_admin,mail_mollens_vd@waadt.ch,DE,Rue du Château 39,1146
112,Montricher_admin,mail_montricher@waadt.ch,FR,Tellstrasse 51,1147
113,Cuarnens_admin,mail_cuarnens@waadt.ch,IT,Hirschengraben 76,1148
114,Moiry_VD_admin,mail_moiry_vd@waadt.ch,FR,Zürcherstrasse 85,1148
115,La_Praz_admin,mail_la_praz@waadt.ch,DE,Rue du Château 92,1148
116,Mont-la-Ville_admin,mail_mont-la-ville@waadt.ch,FR,Poststrasse 30,1148
117,Chavannes-le-Veyron_admin,mail_chavannes-le-veyron@waadt.ch,IT,Rue de la Croix-Rouge 14,1148
118,Mauraz_admin,mail_mauraz@waadt.ch,DE,Winkelriedstrasse 96,1148
119,Villars-Bozon_admin,mail_villars-bozon@waadt.ch,DE,Marktplatz 72,1148
120,La_Coudre_admin,mail_la_coudre@waadt.ch,FR,Rue de la Croix-Rouge 53,1148
121,L'Isle_admin,mail_l'isle@waadt.ch,DE,Hirschengraben 81,1148
122,Berolle_admin,mail_berolle@waadt.ch,FR,Morgartenstrasse 42,1149
123,St-Prex_admin,mail_st-prex@waadt.ch,IT,Via Trevano 75,1162
124,Etoy_admin,mail_etoy@waadt.ch,IT,Werdstrasse 85,1163
125,Buchillon_admin,mail_buchillon@waadt.ch,DE,Rue du Château 60,1164
126,Allaman_admin,mail_allaman@waadt.ch,DE,Bärenplatz 94,1165
127,Perroy_admin,mail_perroy@waadt.ch,FR,Dufourstrasse 7,1166
128,Lussy-sur-Morges_admin,mail_lussy-sur-morges@waadt.ch,IT,Usterstrasse 81,1167
129,Villars-sous-Yens_admin,mail_villars-sous-yens@waadt.ch,FR,Tellstrasse 30,1168
130,Yens_admin,mail_yens@waadt.ch,IT,Poststrasse 32,1169
131,Aubonne_admin,mail_aubonne@waadt.ch,IT,Rue du Château 30,1170
132,Bougy-Villars_admin,mail_bougy-villars@waadt.ch,FR,Via Trevano 7,1172
133,Féchy_admin,mail_féchy@waadt.ch,DE,Marktplatz 28,1173
134,Montherod_admin,mail_montherod@waadt.ch,DE,Werdstrasse 86,1174
135,Pizy_admin,mail_pizy@waadt.ch,FR,Winkelriedstrasse 31,1174
136,Lavigny_admin,mail_lavigny@waadt.ch,IT,Marktplatz 28,1175
137,St-Livres_admin,mail_st-livres@waadt.ch,IT,Hirschengraben 16,1176
138,Tartegnin_admin,mail_tartegnin@waadt.ch,FR,Bahnhofstrasse 61,1180
139,Rolle_admin,mail_rolle@waadt.ch,DE,Rue de l'hôpital 67,1180
140,Gilly_admin,mail_gilly@waadt.ch,DE,Dufourstrasse 100,1182
141,Bursins_admin,mail_bursins@waadt.ch,FR,Rue de la Croix-Rouge 26,1183
142,Vinzel_admin,mail_vinzel@waadt.ch,DE,Via Trevano 14,1184
143,Luins_admin,mail_luins@waadt.ch,IT,Dufourstrasse 80,1184
144,Mont-sur-Rolle_admin,mail_mont-sur-rolle@waadt.ch,IT,Marktplatz 70,1185
145,Essertines-sur-Rolle_admin,mail_essertines-sur-rolle@waadt.ch,DE,Rue du Château 22,1186
146,St-Oyens_admin,mail_st-oyens@waadt.ch,IT,Rue du Château 7,1187
147,Gimel_admin,mail_gimel@waadt.ch,IT,Hirschengraben 84,1188
148,St-George_admin,mail_st-george@waadt.ch,FR,Bahnhofstrasse 93,1188
149,Saubraz_admin,mail_saubraz@waadt.ch,IT,Zürcherstrasse 42,1189
150,Dully_admin,mail_dully@waadt.ch,FR,Hirschengraben 40,1195
151,Bursinel_admin,mail_bursinel@waadt.ch,FR,Piazza Riforma 53,1195
152,Gland_admin,mail_gland@waadt.ch,IT,Hirschengraben 37,1196
153,Prangins_admin,mail_prangins@waadt.ch,DE,Dufourstrasse 48,1197
154,Genève_admin,mail_genève@genf.ch,FR,Rue de l'hôpital 49,1200
155,Grand-Lancy_admin,mail_grand-lancy@genf.ch,DE,Rue de la Croix-Rouge 33,1212
156,Petit-Lancy_admin,mail_petit-lancy@genf.ch,IT,Bahnhofstrasse 17,1213
157,Onex_admin,mail_onex@genf.ch,DE,Usterstrasse 40,1213
158,Vernier_admin,mail_vernier@genf.ch,IT,Industriestrasse 44,1214
159,Genève_15 Aéroport_admin,mail_genève_15 aéroport@genf.ch,FR,Bahnhofstrasse 75,1215
160,Cointrin_admin,mail_cointrin@genf.ch,IT,Rue du Château 8,1216
161,Meyrin_admin,mail_meyrin@genf.ch,FR,Place de l'hôtel 47,1217
162,Le_Grand-Saconnex_admin,mail_le_grand-saconnex@genf.ch,DE,Rue de l'hôpital 71,1218
163,Le_Lignon_admin,mail_le_lignon@genf.ch,FR,Rue de l'hôpital 46,1219
164,Aïre_admin,mail_aïre@genf.ch,DE,Industriestrasse 39,1219
165,Châtelaine_admin,mail_châtelaine@genf.ch,DE,Rue de la Croix-Rouge 79,1219
166,Les_Avanchets_admin,mail_les_avanchets@genf.ch,FR,Zürcherstrasse 51,1220
167,Vésenaz_admin,mail_vésenaz@genf.ch,IT,Hirschengraben 55,1222
168,Cologny_admin,mail_cologny@genf.ch,IT,Rue de la Croix-Rouge 51,1223
169,Chêne-Bougeries_admin,mail_chêne-bougeries@genf.ch,FR,Zürcherstrasse 37,1224
170,Chêne-Bourg_admin,mail_chêne-bourg@genf.ch,FR,Poststrasse 26,1225
171,Thônex_admin,mail_thônex@genf.ch,IT,Werdstrasse 92,1226
172,Les_Acacias_admin,mail_les_acacias@genf.ch,IT,Industriestrasse 68,1227
173,Carouge_GE_admin,mail_carouge_ge@genf.ch,DE,Poststrasse 27,1227
174,Plan-les-Ouates_admin,mail_plan-les-ouates@genf.ch,DE,Rue de la Croix-Rouge 57,1228
175,Conches_admin,mail_conches@genf.ch,IT,Morgartenstrasse 99,1231
176,Confignon_admin,mail_confignon@genf.ch,FR,Dufourstrasse 68,1232
177,Bernex_admin,mail_bernex@genf.ch,DE,Via Trevano 75,1233
178,Vessy_admin,mail_vessy@genf.ch,DE,Dufourstrasse 38,1234
179,Cartigny_admin,mail_cartigny@genf.ch,FR,Dufourstrasse 74,1236
180,Avully_admin,mail_avully@genf.ch,IT,Werdstrasse 95,1237
181,Collex_admin,mail_collex@genf.ch,IT,Dufourstrasse 82,1239
182,Puplinge_admin,mail_puplinge@genf.ch,FR,Tellstrasse 34,1241
183,Satigny_admin,mail_satigny@genf.ch,FR,Tellstrasse 64,1242
184,Presinge_admin,mail_presinge@genf.ch,IT,Industriestrasse 20,1243
185,Choulex_admin,mail_choulex@genf.ch,DE,Rue de l'hôpital 11,1244
186,Collonge-Bellerive_admin,mail_collonge-bellerive@genf.ch,DE,Werdstrasse 5,1245
187,Corsier_GE_admin,mail_corsier_ge@genf.ch,DE,Winkelriedstrasse 13,1246
188,Anières_admin,mail_anières@genf.ch,FR,Via Trevano 50,1247
189,Hermance_admin,mail_hermance@genf.ch,IT,Marktplatz 43,1248
190,Gy_admin,mail_gy@genf.ch,IT,Marktplatz 73,1251
191,Meinier_admin,mail_meinier@genf.ch,FR,Poststrasse 9,1252
192,Vandoeuvres_admin,mail_vandoeuvres@genf.ch,FR,Tellstrasse 57,1253
193,Jussy_admin,mail_jussy@genf.ch,DE,Piazza Riforma 15,1254
194,Veyrier_admin,mail_veyrier@genf.ch,DE,Bärenplatz 96,1255
195,Troinex_admin,mail_troinex@genf.ch,FR,Poststrasse 37,1256
196,La_Croix-de-Rozon_admin,mail_la_croix-de-rozon@genf.ch,FR,Bahnhofstrasse 100,1257
197,Perly_admin,mail_perly@genf.ch,IT,Poststrasse 81,1258
198,Nyon_admin,mail_nyon@waadt.ch,DE,Marktgasse 64,1260
199,Longirod_admin,mail_longirod@waadt.ch,IT,Werdstrasse 58,1261
200,Marchissy_admin,mail_marchissy@waadt.ch,DE,Winkelriedstrasse 25,1261
201,Le_Vaud_admin,mail_le_vaud@waadt.ch,IT,Winkelriedstrasse 20,1261
202,Eysins_admin,mail_eysins@waadt.ch,FR,Morgartenstrasse 6,1262
203,Crassier_admin,mail_crassier@waadt.ch,IT,Morgartenstrasse 55,1263
204,St-Cergue_admin,mail_st-cergue@waadt.ch,IT,Via Trevano 50,1264
205,La_Cure_admin,mail_la_cure@waadt.ch,IT,Place de l'hôtel 45,1265
206,Duillier_admin,mail_duillier@waadt.ch,IT,Via Trevano 56,1266
207,Vich_admin,mail_vich@waadt.ch,FR,Bärenplatz 71,1267
208,Coinsins_admin,mail_coinsins@waadt.ch,FR,Rue de la Croix-Rouge 49,1267
209,Burtigny_admin,mail_burtigny@waadt.ch,FR,Poststrasse 58,1268
210,Begnins_admin,mail_begnins@waadt.ch,FR,Dufourstrasse 55,1268
211,Bassins_admin,mail_bassins@waadt.ch,FR,Rue du Château 72,1269
212,Trélex_admin,mail_trélex@waadt.ch,IT,Via Trevano 74,1270
213,Givrins_admin,mail_givrins@waadt.ch,IT,Marktplatz 26,1271
214,Genolier_admin,mail_genolier@waadt.ch,FR,Marktgasse 26,1272
215,Le_Muids_admin,mail_le_muids@waadt.ch,IT,Dufourstrasse 69,1273
216,Arzier_admin,mail_arzier@waadt.ch,FR,Morgartenstrasse 11,1273
217,Grens_admin,mail_grens@waadt.ch,IT,Usterstrasse 82,1274
218,Signy_admin,mail_signy@waadt.ch,DE,Usterstrasse 67,1274
219,Chéserex_admin,mail_chéserex@waadt.ch,FR,Rue du Château 58,1275
220,Gingins_admin,mail_gingins@waadt.ch,DE,Marktplatz 86,1276
221,Arnex-sur-Nyon_admin,mail_arnex-sur-nyon@waadt.ch,FR,Bahnhofstrasse 91,1277
222,Borex_admin,mail_borex@waadt.ch,FR,Zürcherstrasse 4,1277
223,La_Rippe_admin,mail_la_rippe@waadt.ch,IT,Piazza Riforma 34,1278
224,Bogis-Bossey_admin,mail_bogis-bossey@waadt.ch,FR,Hirschengraben 13,1279
225,Chavannes-de-Bogis_admin,mail_chavannes-de-bogis@waadt.ch,DE,Rue du Château 34,1279
226,Russin_admin,mail_russin@genf.ch,FR,Bahnhofstrasse 58,1281
227,Dardagny_admin,mail_dardagny@genf.ch,FR,Marktplatz 86,1283
228,La_Plaine_admin,mail_la_plaine@genf.ch,DE,Tellstrasse 69,1283
229,Chancy_admin,mail_chancy@genf.ch,FR,Winkelriedstrasse 87,1284
230,Athenaz_(Avusy)_admin,mail_athenaz_(avusy)@genf.ch,IT,Place de l'hôtel 25,1285
231,Soral_admin,mail_soral@genf.ch,IT,Bärenplatz 68,1286
232,Laconnex_admin,mail_laconnex@genf.ch,IT,Marktgasse 35,1287
233,Aire-la-Ville_admin,mail_aire-la-ville@genf.ch,DE,Poststrasse 2,1288
234,Versoix_admin,mail_versoix@genf.ch,FR,Industriestrasse 29,1290
235,Chavannes-des-Bois_admin,mail_chavannes-des-bois@waadt.ch,FR,Via Trevano 85,1290
236,Commugny_admin,mail_commugny@waadt.ch,FR,Dufourstrasse 12,1291
237,Chambésy_admin,mail_chambésy@genf.ch,DE,Dufourstrasse 40,1292
238,Bellevue_admin,mail_bellevue@genf.ch,DE,Rue du Château 6,1293
239,Genthod_admin,mail_genthod@genf.ch,FR,Dufourstrasse 25,1294
240,Mies_admin,mail_mies@waadt.ch,DE,Morgartenstrasse 97,1295
241,Tannay_admin,mail_tannay@waadt.ch,IT,Tellstrasse 66,1295
242,Coppet_admin,mail_coppet@waadt.ch,IT,Tellstrasse 71,1296
243,Founex_admin,mail_founex@waadt.ch,IT,Werdstrasse 89,1297
244,Céligny_admin,mail_céligny@genf.ch,DE,Tellstrasse 31,1298
245,Crans-près-Céligny_admin,mail_crans-près-céligny@waadt.ch,DE,Via Trevano 93,1299
246,Vufflens-la-Ville_admin,mail_vufflens-la-ville@waadt.ch,DE,Tellstrasse 3,1302
247,Penthaz_admin,mail_penthaz@waadt.ch,DE,Hirschengraben 36,1303
248,Senarclens_admin,mail_senarclens@waadt.ch,FR,Marktplatz 96,1304
249,Dizy_admin,mail_dizy@waadt.ch,IT,Morgartenstrasse 36,1304
250,Allens_admin,mail_allens@waadt.ch,FR,Rue de l'hôpital 24,1304
251,Cossonay-Ville_admin,mail_cossonay-ville@waadt.ch,IT,Bärenplatz 32,1304
252,Penthalaz_admin,mail_penthalaz@waadt.ch,FR,Usterstrasse 71,1305
253,Daillens_admin,mail_daillens@waadt.ch,DE,Winkelriedstrasse 47,1306
254,Lussery-Villars_admin,mail_lussery-villars@waadt.ch,IT,Werdstrasse 1,1307
255,La_Chaux (Cossonay)_admin,mail_la_chaux (cossonay)@waadt.ch,DE,Rue de la Croix-Rouge 46,1308
256,Eclépens_admin,mail_eclépens@waadt.ch,DE,Marktplatz 96,1312
257,Ferreyres_admin,mail_ferreyres@waadt.ch,IT,Via Trevano 50,1313
258,La_Sarraz_admin,mail_la_sarraz@waadt.ch,DE,Bahnhofstrasse 92,1315
259,Chevilly_admin,mail_chevilly@waadt.ch,FR,Piazza Riforma 32,1316
260,Orny_admin,mail_orny@waadt.ch,DE,Bärenplatz 78,1317
261,Pompaples_admin,mail_pompaples@waadt.ch,IT,Dufourstrasse 26,1318
262,Arnex-sur-Orbe_admin,mail_arnex-sur-orbe@waadt.ch,IT,Via Trevano 69,1321
263,Croy_admin,mail_croy@waadt.ch,IT,Morgartenstrasse 15,1322
264,Romainmôtier_admin,mail_romainmôtier@waadt.ch,FR,Tellstrasse 5,1323
265,Premier_admin,mail_premier@waadt.ch,IT,Piazza Riforma 39,1324
266,Vaulion_admin,mail_vaulion@waadt.ch,IT,Via Trevano 85,1325
267,Juriens_admin,mail_juriens@waadt.ch,IT,Poststrasse 64,1326
268,Bretonnières_admin,mail_bretonnières@waadt.ch,DE,Marktplatz 36,1329
269,Vallorbe_admin,mail_vallorbe@waadt.ch,DE,Bahnhofstrasse 27,1337
270,Ballaigues_admin,mail_ballaigues@waadt.ch,IT,Zürcherstrasse 51,1338
271,Orient_admin,mail_orient@waadt.ch,IT,Winkelriedstrasse 28,1341
272,Le_Pont_admin,mail_le_pont@waadt.ch,IT,Place de l'hôtel 1,1342
273,Les_Charbonnières_admin,mail_les_charbonnières@waadt.ch,DE,Piazza Riforma 88,1343
274,L'Abbaye_admin,mail_l'abbaye@waadt.ch,DE,Rue de l'hôpital 1,1344
275,Le_Lieu_admin,mail_le_lieu@waadt.ch,DE,Poststrasse 8,1345
276,Les_Bioux_admin,mail_les_bioux@waadt.ch,DE,Poststrasse 21,1346
277,Le_Solliat_admin,mail_le_solliat@waadt.ch,FR,Usterstrasse 10,1347
278,Le_Sentier_admin,mail_le_sentier@waadt.ch,IT,Piazza Riforma 31,1347
279,Le_Brassus_admin,mail_le_brassus@waadt.ch,DE,Rue du Château 18,1348
280,Orbe_admin,mail_orbe@waadt.ch,IT,Bärenplatz 2,1350
281,Agiez_admin,mail_agiez@waadt.ch,DE,Via Trevano 67,1352
282,Bofflens_admin,mail_bofflens@waadt.ch,IT,Winkelriedstrasse 26,1353
283,Montcherand_admin,mail_montcherand@waadt.ch,FR,Usterstrasse 28,1354
284,Sergey_admin,mail_sergey@waadt.ch,FR,Via Trevano 68,1355
285,L'Abergement_admin,mail_l'abergement@waadt.ch,DE,Morgartenstrasse 19,1355
286,Les_Clées_admin,mail_les_clées@waadt.ch,DE,Morgartenstrasse 100,1356
287,La_Russille_admin,mail_la_russille@waadt.ch,DE,Usterstrasse 84,1356
288,Lignerolle_admin,mail_lignerolle@waadt.ch,FR,Place de l'hôtel 42,1357
289,Valeyres-sous-Rances_admin,mail_valeyres-sous-rances@waadt.ch,FR,Hirschengraben 26,1358
290,Bavois_admin,mail_bavois@waadt.ch,FR,Rue du Château 84,1372
291,Chavornay_admin,mail_chavornay@waadt.ch,DE,Rue du Château 42,1373
292,Corcelles-sur-Chavornay_admin,mail_corcelles-sur-chavornay@waadt.ch,IT,Via Trevano 9,1374
293,Penthéréaz_admin,mail_penthéréaz@waadt.ch,IT,Hirschengraben 31,1375
294,Eclagnens_admin,mail_eclagnens@waadt.ch,FR,Hirschengraben 5,1376
295,Goumoens-le-Jux_admin,mail_goumoens-le-jux@waadt.ch,DE,Marktplatz 65,1376
296,Goumoens-la-Ville_admin,mail_goumoens-la-ville@waadt.ch,DE,Bärenplatz 21,1376
297,Oulens-sous-Echallens_admin,mail_oulens-sous-echallens@waadt.ch,FR,Rue de la Croix-Rouge 37,1377
298,Yverdon-les-Bains_admin,mail_yverdon-les-bains@waadt.ch,DE,Via Trevano 53,1400
299,Cheseaux-Noréaz_admin,mail_cheseaux-noréaz@waadt.ch,FR,Marktgasse 39,1400
300,Cuarny_admin,mail_cuarny@waadt.ch,DE,Usterstrasse 11,1404
301,Villars-Epeney_admin,mail_villars-epeney@waadt.ch,DE,Place de l'hôtel 6,1404
302,Pomy_admin,mail_pomy@waadt.ch,IT,Morgartenstrasse 57,1405
303,Cronay_admin,mail_cronay@waadt.ch,DE,Rue du Château 55,1406
304,Bioley-Magnoux_admin,mail_bioley-magnoux@waadt.ch,FR,Dufourstrasse 78,1407
305,Gossens_admin,mail_gossens@waadt.ch,IT,Bärenplatz 57,1407
306,Mézery-près-Donneloye_admin,mail_mézery-près-donneloye@waadt.ch,IT,Werdstrasse 85,1407
307,Donneloye_admin,mail_donneloye@waadt.ch,IT,Via Trevano 30,1407
308,Prahins_admin,mail_prahins@waadt.ch,IT,Poststrasse 99,1408
309,Chanéaz_admin,mail_chanéaz@waadt.ch,IT,Winkelriedstrasse 44,1409
310,Prévondavaux_admin,mail_prévondavaux@freiburg.ch,IT,Zürcherstrasse 72,1410
311,St-Cierges_admin,mail_st-cierges@waadt.ch,IT,Marktgasse 48,1410
312,Denezy_admin,mail_denezy@waadt.ch,DE,Marktplatz 34,1410
313,Correvon_admin,mail_correvon@waadt.ch,IT,Industriestrasse 53,1410
