ID,username,mail,language,street,PLZ
21,Sullens_Waadt_admin,mail_sullens@waadt.ch,DE,Hirschengraben 31,1036
22,Etagnières_Waadt_admin,mail_etagnières@waadt.ch,FR,Morgartenstrasse 96,1037
23,Bercher_Waadt_admin,mail_bercher@waadt.ch,DE,Morgartenstrasse 92,1038
24,St-Barthélemy_VD_Waadt_admin,mail_st-barthélemy_vd@waadt.ch,IT,Zürcherstrasse 30,1040
25,Villars-le-Terroir_Waadt_admin,mail_villars-le-terroir@waadt.ch,IT,Tellstrasse 70,1040
26,Echallens_Waadt_admin,mail_echallens@waadt.ch,FR,Zürcherstrasse 49,1040
27,Dommartin_Waadt_admin,mail_dommartin@waadt.ch,DE,Werdstrasse 42,1041
28,Poliez-Pittet_Waadt_admin,mail_poliez-pittet@waadt.ch,DE,Zürcherstrasse 100,1041
29,Bottens_Waadt_admin,mail_bottens@waadt.ch,DE,Industriestrasse 3,1041
30,Naz_Waadt_admin,mail_naz@waadt.ch,FR,Werdstrasse 22,1041
31,Montaubion-Chardonney_Waadt_admin,mail_montaubion-chardonney@waadt.ch,IT,Marktgasse 46,1041
32,Poliez-le-Grand_Waadt_admin,mail_poliez-le-grand@waadt.ch,IT,Morgartenstrasse 50,1041
33,Bettens_Waadt_admin,mail_bettens@waadt.ch,FR,Usterstrasse 58,1042
34,Bioley-Orjulaz_Waadt_admin,mail_bioley-orjulaz@waadt.ch,IT,Marktplatz 32,1042
35,Assens_Waadt_admin,mail_assens@waadt.ch,IT,Via Trevano 87,1042
36,Sugnens_Waadt_admin,mail_sugnens@waadt.ch,DE,Place de l'hôtel 78,1043
37,Fey_Waadt_admin,mail_fey@waadt.ch,DE,Dufourstrasse 7,1044
38,Ogens_Waadt_admin,mail_ogens@waadt.ch,DE,Poststrasse 79,1045
39,Rueyres_Waadt_admin,mail_rueyres@waadt.ch,FR,Tellstrasse 8,1046
40,Oppens_Waadt_admin,mail_oppens@waadt.ch,DE,Poststrasse 18,1047
41,Le_Mont-sur-Lausanne_Waadt_admin,mail_le_mont-sur-lausanne@waadt.ch,FR,Industriestrasse 68,1052
42,Bretigny-sur-Morrens_Waadt_admin,mail_bretigny-sur-morrens@waadt.ch,IT,Tellstrasse 3,1053
43,Cugy_VD_Waadt_admin,mail_cugy_vd@waadt.ch,DE,Hirschengraben 7,1053
44,Morrens_VD_Waadt_admin,mail_morrens_vd@waadt.ch,DE,Poststrasse 22,1054
45,Froideville_Waadt_admin,mail_froideville@waadt.ch,FR,Via Trevano 13,1055
46,Villars-Tiercelin_Waadt_admin,mail_villars-tiercelin@waadt.ch,IT,Marktplatz 47,1058
47,Peney-le-Jorat_Waadt_admin,mail_peney-le-jorat@waadt.ch,FR,Piazza Riforma 57,1059
48,Villars-Mendraz_Waadt_admin,mail_villars-mendraz@waadt.ch,FR,Rue de la Croix-Rouge 64,1061
49,Sottens_Waadt_admin,mail_sottens@waadt.ch,DE,Usterstrasse 89,1062
50,Peyres-Possens_Waadt_admin,mail_peyres-possens@waadt.ch,IT,Morgartenstrasse 9,1063
51,Boulens_Waadt_admin,mail_boulens@waadt.ch,FR,Zürcherstrasse 50,1063
52,Chapelle-sur-Moudon_Waadt_admin,mail_chapelle-sur-moudon@waadt.ch,IT,Hirschengraben 92,1063
53,Martherenges_Waadt_admin,mail_martherenges@waadt.ch,FR,Morgartenstrasse 66,1063
54,Epalinges_Waadt_admin,mail_epalinges@waadt.ch,DE,Usterstrasse 8,1066
55,Les_Monts-de-Pully_Waadt_admin,mail_les_monts-de-pully@waadt.ch,DE,Marktgasse 29,1068
56,Puidoux_Waadt_admin,mail_puidoux@waadt.ch,DE,Winkelriedstrasse 81,1070
57,Rivaz_Waadt_admin,mail_rivaz@waadt.ch,IT,Zürcherstrasse 92,1071
58,St-Saphorin_(Lavaux)_Waadt_admin,mail_st-saphorin_(lavaux)@waadt.ch,DE,Usterstrasse 3,1071
59,Chexbres_Waadt_admin,mail_chexbres@waadt.ch,IT,Marktgasse 87,1071
60,Forel_(Lavaux)_Waadt_admin,mail_forel_(lavaux)@waadt.ch,IT,Via Trevano 1,1072
61,Mollie-Margot_Waadt_admin,mail_mollie-margot@waadt.ch,FR,Tellstrasse 60,1073
62,Savigny_Waadt_admin,mail_savigny@waadt.ch,IT,Marktplatz 63,1073
63,Ferlens_VD_Waadt_admin,mail_ferlens_vd@waadt.ch,DE,Industriestrasse 100,1076
64,Servion_Waadt_admin,mail_servion@waadt.ch,DE,Morgartenstrasse 35,1077
65,Essertes_Waadt_admin,mail_essertes@waadt.ch,FR,Zürcherstrasse 93,1078
66,Les_Cullayes_Waadt_admin,mail_les_cullayes@waadt.ch,IT,Piazza Riforma 5,1080
67,Montpreveyres_Waadt_admin,mail_montpreveyres@waadt.ch,DE,Usterstrasse 60,1081
68,Corcelles-le-Jorat_Waadt_admin,mail_corcelles-le-jorat@waadt.ch,DE,Dufourstrasse 19,1082
69,Mézières_VD_Waadt_admin,mail_mézières_vd@waadt.ch,DE,Marktplatz 45,1083
70,Carrouge_VD_Waadt_admin,mail_carrouge_vd@waadt.ch,DE,Poststrasse 75,1084
71,Vulliens_Waadt_admin,mail_vulliens@waadt.ch,IT,Rue de l'hôpital 42,1085
72,Ropraz_Waadt_admin,mail_ropraz@waadt.ch,IT,Usterstrasse 96,1088
73,La_Croix (Lutry)_Waadt_admin,mail_la_croix (lutry)@waadt.ch,IT,Tellstrasse 77,1090
74,Aran_Waadt_admin,mail_aran@waadt.ch,IT,Industriestrasse 61,1091
75,Chenaux_Waadt_admin,mail_chenaux@waadt.ch,DE,Bahnhofstrasse 96,1091
76,Grandvaux_Waadt_admin,mail_grandvaux@waadt.ch,DE,Dufourstrasse 82,1091
77,Belmont-sur-Lausanne_Waadt_admin,mail_belmont-sur-lausanne@waadt.ch,IT,Werdstrasse 12,1092
78,La_Conversion_Waadt_admin,mail_la_conversion@waadt.ch,IT,Usterstrasse 25,1093
79,Paudex_Waadt_admin,mail_paudex@waadt.ch,DE,Bärenplatz 36,1094
80,Lutry_Waadt_admin,mail_lutry@waadt.ch,IT,Place de l'hôtel 46,1095
81,Villette_(Lavaux)_Waadt_admin,mail_villette_(lavaux)@waadt.ch,FR,Morgartenstrasse 11,1096
82,Cully_Waadt_admin,mail_cully@waadt.ch,IT,Winkelriedstrasse 38,1096
83,Riex_Waadt_admin,mail_riex@waadt.ch,FR,Piazza Riforma 36,1097
84,Epesses_Waadt_admin,mail_epesses@waadt.ch,DE,Rue du Château 89,1098
85,Morges_Waadt_admin,mail_morges@waadt.ch,DE,Zürcherstrasse 14,1110
86,Echichens_Waadt_admin,mail_echichens@waadt.ch,IT,Marktplatz 37,1112
87,St-Saphorin-sur-Morges_Waadt_admin,mail_st-saphorin-sur-morges@waadt.ch,IT,Place de l'hôtel 74,1113
88,Colombier_VD_Waadt_admin,mail_colombier_vd@waadt.ch,FR,Rue de l'hôpital 96,1114
89,Vullierens_Waadt_admin,mail_vullierens@waadt.ch,DE,Marktplatz 23,1115
90,Cottens_VD_Waadt_admin,mail_cottens_vd@waadt.ch,IT,Place de l'hôtel 53,1116
91,Grancy_Waadt_admin,mail_grancy@waadt.ch,FR,Via Trevano 10,1117
92,Bremblens_Waadt_admin,mail_bremblens@waadt.ch,DE,Rue de la Croix-Rouge 63,1121
93,Romanel-sur-Morges_Waadt_admin,mail_romanel-sur-morges@waadt.ch,DE,Poststrasse 41,1122
94,Aclens_Waadt_admin,mail_aclens@waadt.ch,IT,Dufourstrasse 1,1123
95,Gollion_Waadt_admin,mail_gollion@waadt.ch,FR,Bahnhofstrasse 41,1124
96,Monnaz_Waadt_admin,mail_monnaz@waadt.ch,IT,Poststrasse 52,1125
97,Vaux-sur-Morges_Waadt_admin,mail_vaux-sur-morges@waadt.ch,FR,Tellstrasse 77,1126
98,Clarmont_Waadt_admin,mail_clarmont@waadt.ch,FR,Bärenplatz 82,1127
99,Reverolle_Waadt_admin,mail_reverolle@waadt.ch,IT,Rue du Château 76,1128
100,Tolochenaz_Waadt_admin,mail_tolochenaz@waadt.ch,FR,Morgartenstrasse 69,1131
101,Lully_VD_Waadt_admin,mail_lully_vd@waadt.ch,IT,Bärenplatz 55,1132
102,Vufflens-le-Château_Waadt_admin,mail_vufflens-le-château@waadt.ch,FR,Dufourstrasse 6,1134
103,Chigny_Waadt_admin,mail_chigny@waadt.ch,IT,Dufourstrasse 75,1134
104,Denens_Waadt_admin,mail_denens@waadt.ch,IT,Place de l'hôtel 44,1135
105,Bussy-Chardonney_Waadt_admin,mail_bussy-chardonney@waadt.ch,FR,Industriestrasse 49,1136
106,Sévery_Waadt_admin,mail_sévery@waadt.ch,DE,Dufourstrasse 24,1141
107,Pampigny_Waadt_admin,mail_pampigny@waadt.ch,FR,Rue de la Croix-Rouge 37,1142
108,Apples_Waadt_admin,mail_apples@waadt.ch,DE,Via Trevano 75,1143
109,Ballens_Waadt_admin,mail_ballens@waadt.ch,IT,Place de l'hôtel 34,1144
110,Bière_Waadt_admin,mail_bière@waadt.ch,IT,Industriestrasse 8,1145
111,Mollens_VD_Waadt_admin,mail_mollens_vd@waadt.ch,DE,Marktplatz 71,1146
112,Montricher_Waadt_admin,mail_montricher@waadt.ch,FR,Marktplatz 18,1147
113,Cuarnens_Waadt_admin,mail_cuarnens@waadt.ch,DE,Winkelriedstrasse 96,1148
114,Moiry_VD_Waadt_admin,mail_moiry_vd@waadt.ch,DE,Via Trevano 9,1148
115,La_Praz_Waadt_admin,mail_la_praz@waadt.ch,FR,Werdstrasse 79,1148
116,Mont-la-Ville_Waadt_admin,mail_mont-la-ville@waadt.ch,DE,Poststrasse 54,1148
117,Chavannes-le-Veyron_Waadt_admin,mail_chavannes-le-veyron@waadt.ch,FR,Marktplatz 28,1148
118,Mauraz_Waadt_admin,mail_mauraz@waadt.ch,IT,Bärenplatz 39,1148
119,Villars-Bozon_Waadt_admin,mail_villars-bozon@waadt.ch,IT,Poststrasse 46,1148
120,La_Coudre_Waadt_admin,mail_la_coudre@waadt.ch,IT,Marktplatz 48,1148
121,L'Isle_Waadt_admin,mail_l'isle@waadt.ch,IT,Place de l'hôtel 72,1148
122,Berolle_Waadt_admin,mail_berolle@waadt.ch,FR,Werdstrasse 77,1149
123,St-Prex_Waadt_admin,mail_st-prex@waadt.ch,FR,Marktgasse 14,1162
124,Etoy_Waadt_admin,mail_etoy@waadt.ch,DE,Rue du Château 76,1163
125,Buchillon_Waadt_admin,mail_buchillon@waadt.ch,IT,Marktplatz 94,1164
126,Allaman_Waadt_admin,mail_allaman@waadt.ch,FR,Dufourstrasse 10,1165
127,Perroy_Waadt_admin,mail_perroy@waadt.ch,IT,Rue du Château 92,1166
128,Lussy-sur-Morges_Waadt_admin,mail_lussy-sur-morges@waadt.ch,IT,Marktplatz 66,1167
129,Villars-sous-Yens_Waadt_admin,mail_villars-sous-yens@waadt.ch,FR,Industriestrasse 40,1168
130,Yens_Waadt_admin,mail_yens@waadt.ch,DE,Rue du Château 73,1169
131,Aubonne_Waadt_admin,mail_aubonne@waadt.ch,DE,Usterstrasse 92,1170
132,Bougy-Villars_Waadt_admin,mail_bougy-villars@waadt.ch,IT,Tellstrasse 82,1172
133,Féchy_Waadt_admin,mail_féchy@waadt.ch,DE,Poststrasse 44,1173
134,Montherod_Waadt_admin,mail_montherod@waadt.ch,IT,Winkelriedstrasse 39,1174
135,Pizy_Waadt_admin,mail_pizy@waadt.ch,FR,Bärenplatz 1,1174
136,Lavigny_Waadt_admin,mail_lavigny@waadt.ch,DE,Bärenplatz 91,1175
137,St-Livres_Waadt_admin,mail_st-livres@waadt.ch,FR,Piazza Riforma 12,1176
138,Tartegnin_Waadt_admin,mail_tartegnin@waadt.ch,DE,Industriestrasse 51,1180
139,Rolle_Waadt_admin,mail_rolle@waadt.ch,DE,Piazza Riforma 81,1180
140,Gilly_Waadt_admin,mail_gilly@waadt.ch,FR,Bärenplatz 37,1182
141,Bursins_Waadt_admin,mail_bursins@waadt.ch,IT,Bärenplatz 92,1183
142,Vinzel_Waadt_admin,mail_vinzel@waadt.ch,DE,Rue de l'hôpital 18,1184
143,Luins_Waadt_admin,mail_luins@waadt.ch,FR,Rue de l'hôpital 83,1184
144,Mont-sur-Rolle_Waadt_admin,mail_mont-sur-rolle@waadt.ch,IT,Poststrasse 20,1185
145,Essertines-sur-Rolle_Waadt_admin,mail_essertines-sur-rolle@waadt.ch,FR,Dufourstrasse 15,1186
146,St-Oyens_Waadt_admin,mail_st-oyens@waadt.ch,IT,Piazza Riforma 19,1187
147,Gimel_Waadt_admin,mail_gimel@waadt.ch,IT,Industriestrasse 32,1188
148,St-George_Waadt_admin,mail_st-george@waadt.ch,FR,Industriestrasse 33,1188
149,Saubraz_Waadt_admin,mail_saubraz@waadt.ch,FR,Place de l'hôtel 50,1189
150,Dully_Waadt_admin,mail_dully@waadt.ch,IT,Rue de l'hôpital 51,1195
151,Bursinel_Waadt_admin,mail_bursinel@waadt.ch,DE,Via Trevano 15,1195
152,Gland_Waadt_admin,mail_gland@waadt.ch,IT,Winkelriedstrasse 11,1196
153,Prangins_Waadt_admin,mail_prangins@waadt.ch,DE,Rue de l'hôpital 45,1197
154,Genève_Genf_admin,mail_genève@genf.ch,FR,Zürcherstrasse 43,1200
155,Grand-Lancy_Genf_admin,mail_grand-lancy@genf.ch,DE,Morgartenstrasse 83,1212
156,Petit-Lancy_Genf_admin,mail_petit-lancy@genf.ch,FR,Morgartenstrasse 90,1213
157,Onex_Genf_admin,mail_onex@genf.ch,DE,Rue de la Croix-Rouge 93,1213
158,Vernier_Genf_admin,mail_vernier@genf.ch,FR,Bärenplatz 98,1214
159,Genève_15 Aéroport_Genf_admin,mail_genève_15 aéroport@genf.ch,IT,Marktplatz 22,1215
160,Cointrin_Genf_admin,mail_cointrin@genf.ch,IT,Morgartenstrasse 70,1216
161,Meyrin_Genf_admin,mail_meyrin@genf.ch,DE,Tellstrasse 47,1217
162,Le_Grand-Saconnex_Genf_admin,mail_le_grand-saconnex@genf.ch,IT,Marktgasse 22,1218
163,Le_Lignon_Genf_admin,mail_le_lignon@genf.ch,FR,Via Trevano 67,1219
164,Aïre_Genf_admin,mail_aïre@genf.ch,IT,Marktgasse 79,1219
165,Châtelaine_Genf_admin,mail_châtelaine@genf.ch,DE,Hirschengraben 76,1219
166,Les_Avanchets_Genf_admin,mail_les_avanchets@genf.ch,DE,Werdstrasse 80,1220
167,Vésenaz_Genf_admin,mail_vésenaz@genf.ch,DE,Via Trevano 55,1222
168,Cologny_Genf_admin,mail_cologny@genf.ch,IT,Werdstrasse 53,1223
169,Chêne-Bougeries_Genf_admin,mail_chêne-bougeries@genf.ch,FR,Rue de l'hôpital 46,1224
170,Chêne-Bourg_Genf_admin,mail_chêne-bourg@genf.ch,DE,Piazza Riforma 54,1225
171,Thônex_Genf_admin,mail_thônex@genf.ch,FR,Rue de la Croix-Rouge 41,1226
172,Les_Acacias_Genf_admin,mail_les_acacias@genf.ch,FR,Zürcherstrasse 75,1227
173,Carouge_GE_Genf_admin,mail_carouge_ge@genf.ch,IT,Rue de l'hôpital 68,1227
174,Plan-les-Ouates_Genf_admin,mail_plan-les-ouates@genf.ch,DE,Via Trevano 91,1228
175,Conches_Genf_admin,mail_conches@genf.ch,IT,Zürcherstrasse 94,1231
176,Confignon_Genf_admin,mail_confignon@genf.ch,IT,Morgartenstrasse 8,1232
177,Bernex_Genf_admin,mail_bernex@genf.ch,DE,Rue de la Croix-Rouge 32,1233
178,Vessy_Genf_admin,mail_vessy@genf.ch,IT,Zürcherstrasse 79,1234
179,Cartigny_Genf_admin,mail_cartigny@genf.ch,FR,Marktplatz 53,1236
180,Avully_Genf_admin,mail_avully@genf.ch,DE,Hirschengraben 37,1237
181,Collex_Genf_admin,mail_collex@genf.ch,FR,Rue du Château 25,1239
182,Puplinge_Genf_admin,mail_puplinge@genf.ch,IT,Rue de l'hôpital 7,1241
183,Satigny_Genf_admin,mail_satigny@genf.ch,FR,Tellstrasse 6,1242
184,Presinge_Genf_admin,mail_presinge@genf.ch,FR,Usterstrasse 77,1243
185,Choulex_Genf_admin,mail_choulex@genf.ch,FR,Rue de la Croix-Rouge 29,1244
186,Collonge-Bellerive_Genf_admin,mail_collonge-bellerive@genf.ch,IT,Industriestrasse 84,1245
187,Corsier_GE_Genf_admin,mail_corsier_ge@genf.ch,IT,Usterstrasse 4,1246
188,Anières_Genf_admin,mail_anières@genf.ch,DE,Poststrasse 91,1247
189,Hermance_Genf_admin,mail_hermance@genf.ch,FR,Marktgasse 80,1248
190,Gy_Genf_admin,mail_gy@genf.ch,IT,Bahnhofstrasse 31,1251
191,Meinier_Genf_admin,mail_meinier@genf.ch,IT,Winkelriedstrasse 53,1252
192,Vandoeuvres_Genf_admin,mail_vandoeuvres@genf.ch,DE,Usterstrasse 58,1253
193,Jussy_Genf_admin,mail_jussy@genf.ch,FR,Rue du Château 55,1254
194,Veyrier_Genf_admin,mail_veyrier@genf.ch,DE,Rue de la Croix-Rouge 25,1255
195,Troinex_Genf_admin,mail_troinex@genf.ch,IT,Industriestrasse 40,1256
196,La_Croix-de-Rozon_Genf_admin,mail_la_croix-de-rozon@genf.ch,FR,Dufourstrasse 94,1257
197,Perly_Genf_admin,mail_perly@genf.ch,IT,Bahnhofstrasse 85,1258
198,Nyon_Waadt_admin,mail_nyon@waadt.ch,DE,Via Trevano 1,1260
199,Longirod_Waadt_admin,mail_longirod@waadt.ch,FR,Piazza Riforma 51,1261
200,Marchissy_Waadt_admin,mail_marchissy@waadt.ch,DE,Zürcherstrasse 46,1261
201,Le_Vaud_Waadt_admin,mail_le_vaud@waadt.ch,DE,Rue du Château 78,1261
202,Eysins_Waadt_admin,mail_eysins@waadt.ch,DE,Hirschengraben 6,1262
203,Crassier_Waadt_admin,mail_crassier@waadt.ch,DE,Poststrasse 75,1263
204,St-Cergue_Waadt_admin,mail_st-cergue@waadt.ch,DE,Morgartenstrasse 49,1264
205,La_Cure_Waadt_admin,mail_la_cure@waadt.ch,FR,Bärenplatz 62,1265
206,Duillier_Waadt_admin,mail_duillier@waadt.ch,FR,Zürcherstrasse 8,1266
207,Vich_Waadt_admin,mail_vich@waadt.ch,IT,Tellstrasse 35,1267
208,Coinsins_Waadt_admin,mail_coinsins@waadt.ch,DE,Dufourstrasse 8,1267
209,Burtigny_Waadt_admin,mail_burtigny@waadt.ch,FR,Morgartenstrasse 97,1268
210,Begnins_Waadt_admin,mail_begnins@waadt.ch,DE,Rue du Château 92,1268
211,Bassins_Waadt_admin,mail_bassins@waadt.ch,IT,Place de l'hôtel 26,1269
212,Trélex_Waadt_admin,mail_trélex@waadt.ch,FR,Werdstrasse 96,1270
213,Givrins_Waadt_admin,mail_givrins@waadt.ch,DE,Industriestrasse 81,1271
214,Genolier_Waadt_admin,mail_genolier@waadt.ch,FR,Rue du Château 87,1272
215,Le_Muids_Waadt_admin,mail_le_muids@waadt.ch,FR,Piazza Riforma 98,1273
216,Arzier_Waadt_admin,mail_arzier@waadt.ch,IT,Werdstrasse 36,1273
217,Grens_Waadt_admin,mail_grens@waadt.ch,FR,Rue de la Croix-Rouge 97,1274
218,Signy_Waadt_admin,mail_signy@waadt.ch,FR,Rue du Château 53,1274
219,Chéserex_Waadt_admin,mail_chéserex@waadt.ch,FR,Werdstrasse 72,1275
220,Gingins_Waadt_admin,mail_gingins@waadt.ch,IT,Bärenplatz 82,1276
221,Arnex-sur-Nyon_Waadt_admin,mail_arnex-sur-nyon@waadt.ch,FR,Usterstrasse 90,1277
222,Borex_Waadt_admin,mail_borex@waadt.ch,FR,Poststrasse 49,1277
223,La_Rippe_Waadt_admin,mail_la_rippe@waadt.ch,FR,Werdstrasse 13,1278
224,Bogis-Bossey_Waadt_admin,mail_bogis-bossey@waadt.ch,IT,Dufourstrasse 62,1279
225,Chavannes-de-Bogis_Waadt_admin,mail_chavannes-de-bogis@waadt.ch,DE,Rue de la Croix-Rouge 19,1279
226,Russin_Genf_admin,mail_russin@genf.ch,IT,Place de l'hôtel 51,1281
227,Dardagny_Genf_admin,mail_dardagny@genf.ch,FR,Piazza Riforma 16,1283
228,La_Plaine_Genf_admin,mail_la_plaine@genf.ch,FR,Piazza Riforma 75,1283
229,Chancy_Genf_admin,mail_chancy@genf.ch,DE,Bärenplatz 1,1284
230,Athenaz_(Avusy)_Genf_admin,mail_athenaz_(avusy)@genf.ch,DE,Rue de l'hôpital 65,1285
231,Soral_Genf_admin,mail_soral@genf.ch,IT,Rue du Château 12,1286
232,Laconnex_Genf_admin,mail_laconnex@genf.ch,DE,Hirschengraben 5,1287
233,Aire-la-Ville_Genf_admin,mail_aire-la-ville@genf.ch,FR,Industriestrasse 5,1288
234,Versoix_Genf_admin,mail_versoix@genf.ch,FR,Marktplatz 47,1290
235,Chavannes-des-Bois_Waadt_admin,mail_chavannes-des-bois@waadt.ch,DE,Marktplatz 85,1290
236,Commugny_Waadt_admin,mail_commugny@waadt.ch,IT,Rue de l'hôpital 13,1291
237,Chambésy_Genf_admin,mail_chambésy@genf.ch,FR,Bärenplatz 11,1292
238,Bellevue_Genf_admin,mail_bellevue@genf.ch,DE,Usterstrasse 46,1293
239,Genthod_Genf_admin,mail_genthod@genf.ch,FR,Bärenplatz 73,1294
240,Mies_Waadt_admin,mail_mies@waadt.ch,DE,Zürcherstrasse 28,1295
241,Tannay_Waadt_admin,mail_tannay@waadt.ch,IT,Via Trevano 68,1295
242,Coppet_Waadt_admin,mail_coppet@waadt.ch,IT,Marktgasse 89,1296
243,Founex_Waadt_admin,mail_founex@waadt.ch,IT,Piazza Riforma 91,1297
244,Céligny_Genf_admin,mail_céligny@genf.ch,FR,Tellstrasse 45,1298
245,Crans-près-Céligny_Waadt_admin,mail_crans-près-céligny@waadt.ch,FR,Via Trevano 96,1299
246,Vufflens-la-Ville_Waadt_admin,mail_vufflens-la-ville@waadt.ch,DE,Rue du Château 69,1302
247,Penthaz_Waadt_admin,mail_penthaz@waadt.ch,IT,Zürcherstrasse 22,1303
248,Senarclens_Waadt_admin,mail_senarclens@waadt.ch,DE,Tellstrasse 86,1304
249,Dizy_Waadt_admin,mail_dizy@waadt.ch,FR,Bahnhofstrasse 87,1304
250,Allens_Waadt_admin,mail_allens@waadt.ch,FR,Zürcherstrasse 9,1304
251,Cossonay-Ville_Waadt_admin,mail_cossonay-ville@waadt.ch,IT,Industriestrasse 46,1304
252,Penthalaz_Waadt_admin,mail_penthalaz@waadt.ch,DE,Place de l'hôtel 65,1305
253,Daillens_Waadt_admin,mail_daillens@waadt.ch,FR,Morgartenstrasse 81,1306
254,Lussery-Villars_Waadt_admin,mail_lussery-villars@waadt.ch,FR,Via Trevano 30,1307
255,La_Chaux (Cossonay)_Waadt_admin,mail_la_chaux (cossonay)@waadt.ch,IT,Dufourstrasse 82,1308
256,Eclépens_Waadt_admin,mail_eclépens@waadt.ch,FR,Morgartenstrasse 70,1312
257,Ferreyres_Waadt_admin,mail_ferreyres@waadt.ch,DE,Poststrasse 84,1313
258,La_Sarraz_Waadt_admin,mail_la_sarraz@waadt.ch,IT,Bärenplatz 20,1315
259,Chevilly_Waadt_admin,mail_chevilly@waadt.ch,DE,Werdstrasse 23,1316
260,Orny_Waadt_admin,mail_orny@waadt.ch,DE,Marktplatz 39,1317
261,Pompaples_Waadt_admin,mail_pompaples@waadt.ch,DE,Rue de la Croix-Rouge 26,1318
262,Arnex-sur-Orbe_Waadt_admin,mail_arnex-sur-orbe@waadt.ch,FR,Poststrasse 69,1321
263,Croy_Waadt_admin,mail_croy@waadt.ch,FR,Bahnhofstrasse 5,1322
264,Romainmôtier_Waadt_admin,mail_romainmôtier@waadt.ch,IT,Industriestrasse 34,1323
265,Premier_Waadt_admin,mail_premier@waadt.ch,IT,Usterstrasse 72,1324
266,Vaulion_Waadt_admin,mail_vaulion@waadt.ch,FR,Werdstrasse 51,1325
267,Juriens_Waadt_admin,mail_juriens@waadt.ch,IT,Marktgasse 24,1326
268,Bretonnières_Waadt_admin,mail_bretonnières@waadt.ch,DE,Rue de l'hôpital 36,1329
269,Vallorbe_Waadt_admin,mail_vallorbe@waadt.ch,FR,Marktplatz 14,1337
270,Ballaigues_Waadt_admin,mail_ballaigues@waadt.ch,FR,Bärenplatz 95,1338
271,Orient_Waadt_admin,mail_orient@waadt.ch,IT,Bärenplatz 71,1341
272,Le_Pont_Waadt_admin,mail_le_pont@waadt.ch,FR,Piazza Riforma 96,1342
273,Les_Charbonnières_Waadt_admin,mail_les_charbonnières@waadt.ch,IT,Tellstrasse 37,1343
274,L'Abbaye_Waadt_admin,mail_l'abbaye@waadt.ch,DE,Tellstrasse 99,1344
275,Le_Lieu_Waadt_admin,mail_le_lieu@waadt.ch,IT,Zürcherstrasse 69,1345
276,Les_Bioux_Waadt_admin,mail_les_bioux@waadt.ch,IT,Via Trevano 76,1346
277,Le_Solliat_Waadt_admin,mail_le_solliat@waadt.ch,FR,Marktgasse 8,1347
278,Le_Sentier_Waadt_admin,mail_le_sentier@waadt.ch,IT,Rue de l'hôpital 26,1347
279,Le_Brassus_Waadt_admin,mail_le_brassus@waadt.ch,FR,Morgartenstrasse 96,1348
280,Orbe_Waadt_admin,mail_orbe@waadt.ch,FR,Rue de l'hôpital 46,1350
281,Agiez_Waadt_admin,mail_agiez@waadt.ch,IT,Piazza Riforma 40,1352
282,Bofflens_Waadt_admin,mail_bofflens@waadt.ch,FR,Via Trevano 88,1353
283,Montcherand_Waadt_admin,mail_montcherand@waadt.ch,IT,Zürcherstrasse 97,1354
284,Sergey_Waadt_admin,mail_sergey@waadt.ch,FR,Bahnhofstrasse 84,1355
